X (ms);C0:Drive_1.r61[0];C1:Drive_1.r80[0];C2:Drive_1.r70
53940,000000;1501,808105;-0,289405;651,299988
53960,000000;1500,863892;-0,238606;652,200012
53980,000000;1502,759399;-0,276072;651,299988
54000,000000;1499,440674;-0,247531;652,200012
54020,000000;1502,280151;-0,255871;650,400024
54040,000000;1501,350342;-0,239555;651,299988
54060,000000;1502,280151;-0,281109;650,400024
54080,000000;1498,968506;-0,250322;651,299988
54100,000000;1501,808105;-0,259278;650,400024
54120,000000;1499,440674;-0,261327;650,400024
54140,000000;1501,843872;-0,247555;650,400024
54160,000000;1500,863892;-0,262171;651,299988
54180,000000;1502,759399;-0,283990;650,400024
54200,000000;1500,370483;-0,247173;651,299988
54220,000000;1502,830933;-0,269894;650,400024
54240,000000;1500,863892;-0,246540;650,400024
54260,000000;1501,843872;-0,277554;649,500000
54280,000000;1499,912720;-0,244350;649,500000
54300,000000;1501,808105;-0,266541;649,500000
54320,000000;1498,896973;-0,250367;649,500000
54340,000000;1501,350342;-0,292972;649,500000
54360,000000;1497,559448;-0,241658;650,400024
54380,000000;1501,843872;-0,315376;649,500000
54400,000000;1498,024414;-0,278024;650,400024
54420,000000;1500,863892;-0,303824;650,400024
54440,000000;1499,440674;-0,279890;651,299988
54460,000000;1500,384766;-0,316796;651,299988
54480,000000;1498,403442;-0,280372;652,200012
54500,000000;1501,808105;-0,306195;651,299988
54520,000000;1499,440674;-0,246277;652,200012
54540,000000;1502,830933;-0,296298;651,299988
54560,000000;1499,912720;-0,233411;651,299988
54580,000000;1502,280151;-0,272619;651,299988
54600,000000;1500,384766;-0,237455;651,299988
54620,000000;1501,808105;-0,274383;650,400024
54640,000000;1499,440674;-0,245557;650,400024
54660,000000;1501,808105;-0,253632;650,400024
54680,000000;1498,896973;-0,261452;651,299988
54700,000000;1500,863892;-0,263948;650,400024
54720,000000;1498,024414;-0,271435;651,299988
54740,000000;1502,337402;-0,272311;650,400024
54760,000000;1499,912720;-0,259363;651,299988
54780,000000;1501,335938;-0,283287;651,299988
54800,000000;1498,968506;-0,271796;651,299988
54820,000000;1501,843872;-0,276687;650,400024
54840,000000;1499,440674;-0,265303;650,400024
54860,000000;1501,808105;-0,248678;650,400024
54880,000000;1500,863892;-0,258604;650,400024
54900,000000;1502,759399;-0,256627;650,400024
54920,000000;1500,863892;-0,254663;651,299988
54940,000000;1502,830933;-0,269635;650,400024
54960,000000;1499,383423;-0,278668;651,299988
54980,000000;1501,843872;-0,262932;650,400024
55000,000000;1498,496460;-0,250801;651,299988
55020,000000;1500,863892;-0,278261;650,400024
55040,000000;1498,496460;-0,252739;650,400024
55060,000000;1500,863892;-0,287797;650,400024
55080,000000;1498,496460;-0,258211;651,299988
55100,000000;1500,863892;-0,290678;651,299988
55120,000000;1498,896973;-0,236130;651,299988
55140,000000;1500,863892;-0,309304;651,299988
55160,000000;1498,896973;-0,238251;651,299988
55180,000000;1500,863892;-0,259327;651,299988
55200,000000;1498,896973;-0,229644;651,299988
55220,000000;1502,280151;-0,228348;650,400024
55240,000000;1498,496460;-0,237982;651,299988
55260,000000;1500,863892;-0,239652;650,400024
55280,000000;1498,968506;-0,219992;651,299988
55300,000000;1500,863892;-0,236193;650,400024
55320,000000;1498,968506;-0,241694;651,299988
55340,000000;1500,863892;-0,254208;650,400024
55360,000000;1498,896973;-0,236651;650,400024
55380,000000;1501,808105;-0,252732;650,400024
55400,000000;1499,912720;-0,226443;650,400024
55420,000000;1501,808105;-0,245727;649,500000
55440,000000;1498,896973;-0,238392;650,400024
55460,000000;1501,335938;-0,273806;649,500000
55480,000000;1498,496460;-0,219147;650,400024
55500,000000;1500,384766;-0,234839;649,500000
55520,000000;1498,403442;-0,240229;650,400024
55540,000000;1502,337402;-0,266868;650,400024
55560,000000;1500,370483;-0,240466;651,299988
