X (ms);C0:Drive_1.r63[0];C1:Drive_1.r80[0];C2:Drive_1.r76;C3:Drive_1.r78;C4:Drive_1.r70
10128,000000;532,685425;0,820140;0,881788;0,131046;591,100037
10136,000000;535,167175;0,703118;0,878906;0,112348;589,200012
10144,000000;537,610352;0,764515;0,893040;0,122158;583,700012
10152,000000;540,325500;0,825377;0,870798;0,131883;588,299988
10160,000000;542,748047;0,785791;0,888676;0,125557;587,400024
10168,000000;545,399292;0,850711;0,875182;0,135931;591,100037
10176,000000;546,654480;0,728518;0,879110;0,116406;588,299988
10184,000000;549,380188;0,757735;0,883025;0,121075;583,700012
10192,000000;552,348511;0,758673;0,873824;0,121225;587,400024
10200,000000;553,987732;0,643276;0,894062;0,102786;586,500000
10208,000000;556,984009;0,812913;0,878909;0,129891;591,100037
10216,000000;559,068848;0,710890;0,885218;0,113589;587,400024
10224,000000;561,405579;0,739087;0,887081;0,118095;583,700012
10232,000000;563,604004;0,812635;0,883179;0,126619;588,299988
10240,000000;566,427246;0,762272;0,882658;0,121800;587,400024
10248,000000;568,964355;0,836714;0,873200;0,133694;592,000000
10256,000000;571,270020;0,762205;0,879062;0,121789;587,400024
10264,000000;573,827271;0,770882;0,884093;0,123175;583,700012
10272,000000;575,784851;0,773405;0,872424;0,125894;588,299988
10280,000000;577,542358;0,702408;0,888647;0,112234;586,500000
10288,000000;581,352905;0,690546;0,881426;0,110339;591,100037
10296,000000;582,839722;0,700480;0,882153;0,113374;588,299988
10304,000000;584,594727;0,770837;0,896734;0,123168;584,600037
10312,000000;587,843872;0,825517;0,878415;0,131905;588,299988
10320,000000;589,887146;0,705392;0,885868;0,112711;588,299988
10328,000000;592,586304;0,747542;0,891027;0,126158;592,000000
10336,000000;595,234741;0,765877;0,874020;0,122376;588,299988
10344,000000;597,894653;0,746119;0,891095;0,119219;583,700012
10352,000000;600,126160;0,790633;0,889742;0,126331;588,299988
10360,000000;602,655090;0,776694;0,877869;0,124104;586,500000
10368,000000;604,784729;0,812713;0,887185;0,129859;592,000000
10376,000000;607,590454;0,853095;0,882907;0,136312;589,200012
10384,000000;609,821472;0,776496;0,875229;0,124072;584,600037
10392,000000;610,877930;0,798473;0,890601;0,127584;588,299988
10400,000000;615,310791;0,826456;0,883559;0,132055;586,500000
10408,000000;617,246948;0,839917;0,871337;0,134206;592,000000
10416,000000;620,065979;0,748100;0,889951;0,119535;588,299988
10424,000000;621,473816;0,796755;0,880423;0,127310;584,600037
